id,loan_paid_back
593994,0.9199029803276062
593995,0.9814945012331008
593996,0.5125335603952408
593997,0.928514525294304
593998,0.9647879600524902
593999,0.9770313501358032
594000,0.9874831587076188
594001,0.9704704135656356
594002,0.9466197937726974
594003,0.0030040265992283
594004,0.065835315734148
594005,0.9928360432386398
594006,0.591712698340416
594007,0.0239561647176742
594008,0.9677175879478456
594009,0.7366452217102051
594010,0.9941585510969162
594011,0.7945606708526611
594012,0.9839678406715392
594013,0.9397576600313188
594014,0.6575000435113907
594015,0.9844688773155212
594016,0.9031247049570084
594017,0.8920344859361649
594018,0.9636270105838776
594019,0.0114354672841727
594020,0.785346508026123
594021,0.50742307305336
594022,0.9762193262577056
594023,0.0106876569334417
594024,0.9676634520292282
594025,0.9346738904714584
594026,0.9715626686811448
594027,0.7027155458927155
594028,0.8997716009616852
594029,0.4793875217437744
594030,0.9477709531784058
594031,0.7343799620866776
594032,0.816636249423027
594033,0.9410024732351304
594034,0.9376620203256608
594035,0.4088830724358558
594036,0.9273333847522736
594037,0.9683020710945128
594038,0.9859510511159896
594039,0.7515975385904312
594040,0.8839779049158096
594041,0.996685430407524
594042,0.1428868491202592
594043,0.8433895707130432
594044,0.9069851040840148
594045,0.995877206325531
594046,0.9980929493904114
594047,0.9109706580638884
594048,0.9032381176948548
594049,0.3568803966045379
594050,0.97093103826046
594051,0.8085023313760757
594052,0.6718559861183167
594053,0.9144813269376756
594054,0.7768729478120804
594055,0.9984076917171478
594056,0.8125682175159454
594057,0.9855753630399704
594058,0.949338272213936
594059,0.982771009206772
594060,0.9918620139360428
594061,0.0148052684962749
594062,0.0373011184856295
594063,0.8302953392267227
594064,0.8168934732675552
594065,0.999284327030182
594066,0.8596343994140625
594067,0.0044608769821934
594068,0.6068427339196205
594069,0.9381352216005324
594070,0.8111155033111572
594071,0.8596699386835098
594072,0.9976112246513368
594073,0.8791042566299438
594074,0.838627889752388
594075,0.9601220786571504
594076,0.2108512669801712
594077,0.9207419008016586
594078,0.8263922780752182
594079,0.9494356215000151
594080,0.9946821331977844
594081,0.28079629316926
594082,0.8754409402608871
594083,0.9756658971309662
594084,0.2420187704265117
594085,0.8358073979616165
594086,0.0156221711076796
594087,0.9792080223560332
594088,0.2596702128648758
594089,0.8684049844741821
594090,0.930658683180809
594091,0.8240278512239456
594092,0.7100896388292313
594093,0.9568438529968262
594094,0.3571136444807052
